zfin_id,zfin_symbol,zfin_name
ZDB-GENE-010430-2,vps52,VPS52 subunit of GARP complex
ZDB-GENE-010430-3,mmut,methylmalonyl CoA mutase
ZDB-GENE-010430-5,skic2,SKI2 subunit of superkiller complex
ZDB-GENE-010501-4,prrc2a,proline-rich coiled-coil 2A
ZDB-GENE-010501-5,bag6,BCL2 associated athanogene 6
ZDB-GENE-010501-6,ehmt2,euchromatic histone-lysine N-methyltransferase 2
ZDB-GENE-010503-1,ucp1,uncoupling protein 1
ZDB-GENE-010507-2,clic3,chloride intracellular channel 3
ZDB-GENE-010508-1,bco1,beta-carotene oxygenase 1
ZDB-GENE-010522-1,cp,ceruloplasmin
ZDB-GENE-010601-1,vars1,valyl-tRNA synthetase 1
ZDB-GENE-010601-2,abhd16a,"abhydrolase domain containing 16A, phospholipase"
ZDB-GENE-010605-2,mafa,MAF bZIP transcription factor a
ZDB-GENE-010606-1,cdh1,"cadherin 1, type 1, E-cadherin (epithelial)"
ZDB-GENE-010607-2,igf1,insulin-like growth factor 1
ZDB-GENE-010608-3,neurod2,neuronal differentiation 2
ZDB-GENE-010608-4,neurog3,neurogenin 3
ZDB-GENE-010618-2,efnb1,ephrin-B1
ZDB-GENE-010625-1,dusp5,dual specificity phosphatase 5
ZDB-GENE-010705-1,gng3,"guanine nucleotide binding protein (G protein), gamma 3"
ZDB-GENE-010713-1,cnmd,chondromodulin
ZDB-GENE-010716-3,lcat,lecithin-cholesterol acyltransferase
ZDB-GENE-010717-1,znf703,zinc finger protein 703
ZDB-GENE-010724-1,blzf1,basic leucine zipper nuclear factor 1
ZDB-GENE-010724-10,epha3,eph receptor A3
ZDB-GENE-010724-11,ppp1r12c,"protein phosphatase 1, regulatory subunit 12C"
ZDB-GENE-010724-12,casq2,calsequestrin 2
ZDB-GENE-010724-13,ddah1,dimethylarginine dimethylaminohydrolase 1
ZDB-GENE-010724-14,ceacam1,CEA cell adhesion molecule 1
ZDB-GENE-010724-15,rps9,ribosomal protein S9
ZDB-GENE-010724-16,dnase2,"deoxyribonuclease II, lysosomal"
ZDB-GENE-010724-17,erf,Ets2 repressor factor
ZDB-GENE-010724-2,capn9,calpain 9
ZDB-GENE-010724-4,mpz,myelin protein zero
ZDB-GENE-010724-5,arf1,ADP-ribosylation factor 1
ZDB-GENE-010724-6,fh,fumarate hydratase
ZDB-GENE-010724-7,copb2,COPI coat complex subunit beta 2
ZDB-GENE-010724-9,arpc4,"actin related protein 2/3 complex, subunit 4"
ZDB-GENE-010726-1,btg1,"B-cell translocation gene 1, anti-proliferative"
ZDB-GENE-010727-1,etv6,ETS variant transcription factor 6
ZDB-GENE-010730-1,bcl2l1,BCL2 like 1
ZDB-GENE-010803-1,sim2,SIM bHLH transcription factor 2
ZDB-GENE-010803-2,spry4,sprouty homolog 4 (Drosophila)
ZDB-GENE-010813-1,crybb1,"crystallin, beta B1"
ZDB-GENE-010814-1,f7,coagulation factor VII
ZDB-GENE-010816-1,odc1,ornithine decarboxylase 1
ZDB-GENE-010817-1,angpt1,angiopoietin 1
ZDB-GENE-010817-3,angptl3,angiopoietin-like 3
ZDB-GENE-010906-1,ache,acetylcholinesterase (Yt blood group)
ZDB-GENE-010907-1,pklr,pyruvate kinase L/R
ZDB-GENE-011003-1,adh5,alcohol dehydrogenase 5
ZDB-GENE-011010-1,ndufb5,NADH:ubiquinone oxidoreductase subunit B5
ZDB-GENE-011010-2,gabpa,GA binding protein transcription factor subunit alpha
ZDB-GENE-011010-3,aldh1a2,"aldehyde dehydrogenase 1 family, member A2"
ZDB-GENE-011018-2,cct6a,"chaperonin containing TCP1, subunit 6A (zeta 1)"
ZDB-GENE-011022-1,ugdh,UDP-glucose 6-dehydrogenase
ZDB-GENE-011101-2,dcc,DCC netrin 1 receptor
ZDB-GENE-011101-3,mab21l2,mab-21-like 2
ZDB-GENE-011102-1,ngb,neuroglobin
ZDB-GENE-011105-1,prkci,"protein kinase C, iota"
ZDB-GENE-011108-2,sfrp5,secreted frizzled-related protein 5
ZDB-GENE-011116-1,klf3,Kruppel like factor 3 (basic)
ZDB-GENE-011119-1,gpc4,glypican 4
ZDB-GENE-011128-1,hsf2,heat shock transcription factor 2
ZDB-GENE-011128-10,gnat2,"guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 2"
ZDB-GENE-011128-11,gnat1,"guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1"
ZDB-GENE-011128-6,guca1b,guanylate cyclase activator 1B
ZDB-GENE-011128-7,gucy2f,"guanylate cyclase 2F, retinal"
ZDB-GENE-011128-9,gucy2d,"guanylate cyclase 2D, retinal"
ZDB-GENE-011207-1,sox10,SRY-box transcription factor 10
ZDB-GENE-011210-2,xbp1,X-box binding protein 1
ZDB-GENE-011212-1,fads2,fatty acid desaturase 2
ZDB-GENE-011212-2,rab2a,"RAB2A, member RAS oncogene family"
ZDB-GENE-011212-3,vim,vimentin
ZDB-GENE-011212-4,atic,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
ZDB-GENE-011212-6,tfap2a,transcription factor AP-2 alpha
ZDB-GENE-011220-2,per2,period circadian clock 2
ZDB-GENE-011221-1,nanos3,nanos homolog 3
ZDB-GENE-020103-2,ckbb,"creatine kinase, brain b"
ZDB-GENE-020107-1,ptpra,protein tyrosine phosphatase receptor type A
ZDB-GENE-020108-1,psap,prosaposin
ZDB-GENE-020111-1,lactb,"lactamase, beta"
ZDB-GENE-020111-2,cebpa,CCAAT enhancer binding protein alpha
ZDB-GENE-020111-3,cebpb,CCAAT enhancer binding protein beta
ZDB-GENE-020111-4,cebpd,CCAAT enhancer binding protein delta
ZDB-GENE-020111-5,cebpg,CCAAT enhancer binding protein gamma
ZDB-GENE-020123-2,s1pr2,sphingosine-1-phosphate receptor 2
ZDB-GENE-020129-1,cacna1c,"calcium channel, voltage-dependent, L type, alpha 1C subunit"
ZDB-GENE-020205-1,ube4b,"ubiquitination factor E4B, UFD2 homolog (S. cerevisiae)"
ZDB-GENE-020208-1,tlx2,T cell leukemia homeobox 2
ZDB-GENE-020213-1,mkrn1,"makorin, ring finger protein, 1"
ZDB-GENE-020213-2,mkrn2,"makorin, ring finger protein, 2"
ZDB-GENE-020228-1,spns1,"SPNS lysolipid transporter 1, lysophospholipid"
ZDB-GENE-020318-2,fabp3,"fatty acid binding protein 3, muscle and heart"
ZDB-GENE-020320-1,rbp5,"retinol binding protein 1a, cellular"
ZDB-GENE-020320-5,il17rd,interleukin 17 receptor D
ZDB-GENE-020322-1,ccng1,cyclin G1
ZDB-GENE-020402-1,glra3,"glycine receptor, alpha 3"
ZDB-GENE-020415-1,elob,elongin B
ZDB-GENE-020416-5,tbx6,T-box transcription factor 6
ZDB-GENE-020418-1,ccna2,cyclin A2
ZDB-GENE-020419-1,u2af1,U2 small nuclear RNA auxiliary factor 1
ZDB-GENE-020419-12,rps5,ribosomal protein S5
ZDB-GENE-020419-13,srrt,serrate RNA effector molecule homolog (Arabidopsis)
ZDB-GENE-020419-14,snrpd1,small nuclear ribonucleoprotein D1 polypeptide
ZDB-GENE-020419-15,ppp1r10,"protein phosphatase 1, regulatory subunit 10"
ZDB-GENE-020419-16,pole2,"polymerase (DNA directed), epsilon 2"
ZDB-GENE-020419-18,taf7,"TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor"
ZDB-GENE-020419-19,csnk1a1,"casein kinase 1, alpha 1"
ZDB-GENE-020419-2,rpl35,ribosomal protein L35
ZDB-GENE-020419-20,rps18,ribosomal protein S18
ZDB-GENE-020419-21,smc4,structural maintenance of chromosomes 4
ZDB-GENE-020419-22,sf3b4,"splicing factor 3b, subunit 4"
ZDB-GENE-020419-24,mcm2,minichromosome maintenance complex component 2
ZDB-GENE-020419-25,rpl24,ribosomal protein L24
ZDB-GENE-020419-26,snrpc,small nuclear ribonucleoprotein polypeptide C
ZDB-GENE-020419-27,mcm7,minichromosome maintenance complex component 7
ZDB-GENE-020419-3,b3gat3,"beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)"
ZDB-GENE-020419-30,ddx19b,DEAD-box helicase 19b
ZDB-GENE-020419-31,ncbp2,nuclear cap binding protein subunit 2
ZDB-GENE-020419-32,hdac1,histone deacetylase 1
ZDB-GENE-020419-33,vps18,VPS18 core subunit of CORVET and HOPS complexes
ZDB-GENE-020419-34,dtl,denticleless E3 ubiquitin protein ligase adapter
ZDB-GENE-020419-36,actl6a,actin-like 6A
ZDB-GENE-020419-37,uxs1,UDP-glucuronate decarboxylase 1
ZDB-GENE-020419-39,stil,STIL centriolar assembly protein
ZDB-GENE-020419-4,mcm3,minichromosome maintenance complex component 3
ZDB-GENE-020419-40,aurkb,aurora kinase B
ZDB-GENE-020419-5,cct3,"chaperonin containing TCP1, subunit 3 (gamma)"
ZDB-GENE-020419-6,cct2,"chaperonin containing TCP1, subunit 2 (beta)"
ZDB-GENE-020419-7,cct7,"chaperonin containing TCP1, subunit 7 (eta)"
ZDB-GENE-020419-9,slc25a5,solute carrier family 25 member 5
ZDB-GENE-020423-1,rpl36a,ribosomal protein L36A
ZDB-GENE-020423-3,eef1g,eukaryotic translation elongation factor 1 gamma
ZDB-GENE-020423-4,naca,nascent polypeptide associated complex subunit alpha
